Nimi,Alkupaiva,Loppupaiva,Suuruusluokka,Tikettinumero,Edistyminen
SAP - CRM integraatio,2026-01-15,2026-04-30,L,INT-1042,51
Verkkokauppa - ERP,2026-02-01,2026-05-31,M,INT-1051,0
HR-jarjestelma - AD sync,2026-02-10,2026-04-10,S,INT-1063,15
Asiakasrekisteri - Marketing,2026-03-15,2026-07-31,L,INT-1078,0
Laskutus - Kirjanpito,2026-04-01,2026-06-30,M,INT-1085,0
Tuotetiedot PIM - Web,2026-05-01,2026-09-30,XL,INT-1097,25
Logistiikka API,2026-06-15,2026-09-15,M,INT-1104,0
Raportointi - BI-alusta,2026-07-01,2026-11-30,L,INT-1112,80
Identiteetinhallinta - SSO,2026-08-15,2026-12-15,L,INT-1124,0
Maksuliikenne - Pankki API,2026-07-01,2027-04-15,XL,INT-1138,0
